id,category,ingredient
251,"['양식', '중식', '일식']","['오징어', '딸기', '시금치']"
252,"['양식', '중식', '채식']","['새우', '가지', '쇠고기', '오이', '토마토', '깻잎', '쪽파']"
253,"['채식', '양식', '일식']","['딸기', '고구마', '오이', '쪽파', '치즈', '멸치', '쇠고기', '깻잎', '우유', '양배추', '두부', '레몬', '당근']"
254,"['한식', '양식', '채식']","['새우', '양파', '대파', '애호박', '오이', '생강', '돼지고기', '시금치', '가지', '깻잎', '오징어', '고구마', '멸치', '당근', '감자', '쪽파', '달걀']"
255,"['한식', '채식', '일식', '양식']","['감자', '오징어', '치즈', '새우', '돼지고기', '우유', '양파', '토마토', '베이컨', '파프리카', '가지', '달걀', '멸치', '생강', '깻잎', '닭고기', '두부']"
256,"['양식', '일식', '중식']","['양파', '애호박', '양배추', '마늘', '가지', '달걀', '무', '딸기', '멸치', '베이컨', '쇠고기', '고구마', '쪽파', '생강', '치즈', '오징어', '시금치', '레몬', '토마토', '감자', '돼지고기', '두부', '파프리카', '오이', '우유', '새우', '당근', '깻잎', '닭고기']"
257,"['일식', '중식', '양식']","['베이컨', '마늘', '깻잎', '치즈', '대파', '멸치', '레몬', '양파', '토마토', '쪽파', '닭고기', '양배추', '가지', '감자', '달걀', '두부', '애호박', '오이', '돼지고기', '무']"
258,"['중식', '한식', '양식']","['생강', '우유', '오이', '멸치']"
259,"['중식', '한식', '일식', '양식', '채식']","['대파', '쇠고기', '고구마', '무', '새우', '딸기', '토마토', '오이', '마늘', '오징어', '닭고기', '파프리카', '달걀', '양파', '우유', '멸치', '시금치', '생강', '애호박', '양배추', '돼지고기', '깻잎', '두부', '치즈', '가지']"
260,"['양식', '한식']","['오징어', '감자', '가지', '베이컨']"
261,['일식'],"['애호박', '무', '두부', '멸치', '베이컨']"
262,"['양식', '채식', '중식', '일식']","['가지', '감자', '두부', '양파', '오징어', '파프리카', '멸치']"
263,"['한식', '양식', '일식', '채식']","['파프리카', '애호박', '오이', '베이컨', '우유', '가지', '새우', '감자', '치즈', '쪽파', '달걀', '무']"
264,['양식'],"['양배추', '닭고기', '레몬', '감자', '치즈', '고구마', '양파', '당근', '마늘', '두부', '파프리카', '우유', '오징어', '가지', '대파', '달걀', '돼지고기', '새우', '딸기', '무', '토마토', '오이', '시금치', '애호박', '베이컨', '쇠고기', '멸치', '생강', '쪽파']"
265,['일식'],"['치즈', '감자', '쇠고기', '오징어', '깻잎', '두부', '파프리카', '쪽파', '마늘', '레몬', '시금치', '새우', '양파', '돼지고기', '무', '딸기']"
266,"['일식', '한식', '채식']","['깻잎', '오이', '오징어', '애호박', '레몬', '두부', '멸치', '닭고기', '쪽파', '파프리카', '우유', '당근', '고구마', '딸기', '토마토', '쇠고기', '대파']"
267,"['한식', '채식']","['우유', '토마토', '대파', '파프리카', '당근', '감자', '멸치', '고구마', '애호박', '달걀', '마늘', '레몬', '오징어', '치즈', '오이', '쇠고기', '양배추', '가지', '깻잎', '베이컨', '새우', '돼지고기', '시금치', '두부', '딸기', '생강', '쪽파']"
268,"['채식', '양식', '일식', '중식']","['애호박', '쪽파', '가지', '베이컨', '무', '우유', '오이', '고구마', '마늘', '달걀', '파프리카', '두부', '멸치', '치즈', '돼지고기', '양파', '토마토', '레몬', '당근', '깻잎', '새우', '닭고기', '감자']"
269,"['양식', '채식', '중식', '일식']","['생강', '오이', '닭고기', '토마토', '애호박', '멸치', '베이컨', '양배추', '파프리카', '깻잎', '달걀', '치즈', '우유', '양파', '대파', '쪽파', '시금치', '새우', '당근', '무']"
270,"['채식', '양식']","['쇠고기', '우유', '대파', '생강', '애호박', '감자', '마늘', '쪽파', '깻잎', '파프리카', '돼지고기', '오이', '달걀', '닭고기', '딸기', '무', '토마토']"
271,"['양식', '한식']","['치즈', '당근', '오징어', '생강', '달걀', '오이', '가지', '양파', '양배추', '무', '쇠고기', '새우', '깻잎', '두부', '딸기', '우유', '애호박', '파프리카', '대파', '베이컨', '멸치', '마늘', '돼지고기', '고구마', '쪽파', '시금치', '감자', '닭고기']"
272,"['한식', '중식', '일식', '채식']","['깻잎', '감자', '베이컨', '치즈', '시금치', '돼지고기', '우유', '쇠고기']"
273,"['한식', '채식', '양식']","['우유', '멸치', '시금치', '마늘', '딸기', '쪽파', '생강', '가지', '애호박', '토마토', '돼지고기', '베이컨', '두부', '레몬', '무', '치즈', '오이', '파프리카', '고구마', '새우', '양배추', '당근', '양파', '깻잎']"
274,"['양식', '채식', '한식']","['딸기', '시금치', '오이', '당근', '토마토', '양배추', '돼지고기', '마늘', '파프리카', '고구마', '새우', '가지']"
275,['채식'],"['달걀', '대파', '가지']"
276,"['한식', '중식', '일식', '양식', '채식']","['깻잎', '대파', '쪽파', '오징어', '우유', '두부', '달걀', '쇠고기', '멸치']"
277,"['양식', '중식', '채식']",['오징어']
278,['한식'],"['시금치', '치즈', '딸기', '레몬', '고구마', '양배추', '오징어', '파프리카', '오이', '당근', '무', '애호박', '우유', '대파', '쪽파']"
279,"['양식', '채식', '일식']","['파프리카', '새우', '레몬', '두부', '마늘', '우유', '가지', '대파', '토마토', '깻잎']"
280,"['양식', '채식']","['새우', '무', '고구마', '토마토', '가지', '양파', '대파', '베이컨', '생강', '돼지고기', '시금치', '양배추', '쪽파', '마늘', '깻잎', '치즈', '닭고기', '파프리카', '우유', '애호박', '달걀']"
281,"['한식', '채식', '양식']","['양배추', '쪽파', '치즈', '오징어', '달걀', '대파', '토마토', '오이', '마늘', '양파', '베이컨', '쇠고기', '파프리카', '당근', '깻잎', '새우', '레몬', '두부', '시금치', '고구마', '가지', '멸치', '감자', '돼지고기', '애호박', '우유', '닭고기', '무', '딸기']"
282,"['채식', '중식', '일식', '양식']","['마늘', '딸기', '대파', '가지', '두부', '달걀', '쇠고기']"
283,"['채식', '중식']","['쪽파', '당근', '돼지고기', '가지', '시금치', '토마토', '양배추', '생강', '달걀', '대파', '딸기', '양파', '우유', '무', '파프리카']"
284,"['한식', '일식', '양식']","['애호박', '가지', '감자', '오징어', '멸치', '깻잎', '양배추', '새우', '돼지고기', '우유', '무', '두부', '닭고기', '쇠고기', '레몬', '당근', '시금치', '쪽파', '파프리카', '딸기', '마늘']"
285,"['채식', '일식', '중식']","['대파', '시금치', '감자', '멸치', '당근', '깻잎', '돼지고기', '애호박', '오징어', '마늘', '가지', '토마토', '우유', '레몬', '파프리카', '딸기', '두부', '달걀', '닭고기']"
286,"['일식', '양식', '한식']","['당근', '우유', '두부', '생강', '달걀', '베이컨', '가지', '감자', '대파', '오이', '새우', '시금치', '쪽파', '무', '딸기', '돼지고기', '고구마', '오징어', '닭고기', '양배추', '토마토', '쇠고기', '깻잎', '파프리카', '마늘']"
287,['중식'],"['멸치', '당근', '우유']"
288,"['일식', '양식', '중식', '채식']","['돼지고기', '대파']"
289,"['채식', '일식', '중식', '양식', '한식']","['달걀', '오징어', '가지', '양배추', '멸치', '치즈', '감자', '마늘', '새우', '양파', '두부', '돼지고기', '시금치', '딸기']"
290,"['양식', '채식', '한식', '중식']","['양파', '생강', '딸기']"
291,['채식'],"['파프리카', '깻잎', '닭고기', '양배추', '무', '치즈', '달걀', '쪽파', '새우']"
292,"['채식', '일식']","['두부', '토마토', '가지', '당근', '감자', '마늘', '닭고기', '오이', '베이컨', '양파', '오징어', '멸치', '애호박', '고구마', '대파', '우유']"
293,['양식'],"['토마토', '감자', '고구마', '치즈', '가지', '시금치', '베이컨', '애호박', '파프리카', '당근', '오징어', '두부', '돼지고기', '대파', '생강', '깻잎', '오이', '멸치', '달걀', '무', '우유', '양파', '새우', '쪽파', '딸기', '양배추', '쇠고기', '마늘']"
294,"['양식', '중식', '채식', '한식', '일식']","['무', '멸치', '치즈']"
295,"['한식', '양식', '중식']","['고구마', '당근', '두부', '파프리카', '새우', '돼지고기', '멸치', '쇠고기', '토마토', '대파']"
296,"['중식', '한식', '일식', '양식', '채식']","['무', '고구마', '양파', '양배추', '닭고기', '시금치', '대파', '오이', '토마토', '멸치', '가지', '당근', '돼지고기', '오징어', '마늘', '레몬', '애호박', '우유', '파프리카', '베이컨', '감자', '달걀', '깻잎', '딸기', '생강']"
297,"['중식', '일식']","['가지', '당근', '고구마', '새우', '시금치', '딸기', '달걀', '양배추', '치즈', '감자', '생강', '무', '쪽파', '깻잎', '대파', '마늘', '베이컨', '돼지고기', '토마토', '애호박']"
298,['채식'],"['당근', '애호박', '달걀', '레몬', '오이', '새우', '우유', '쪽파', '깻잎', '시금치', '베이컨', '닭고기', '고구마', '대파', '오징어', '딸기', '두부', '무', '양배추', '생강']"
299,"['채식', '한식']","['우유', '고구마', '가지', '오이', '레몬', '딸기', '애호박', '감자', '시금치', '새우', '쇠고기', '당근', '달걀', '멸치', '오징어', '깻잎', '쪽파', '파프리카', '양파', '양배추', '돼지고기', '무', '치즈', '닭고기', '마늘', '대파', '두부', '토마토']"
300,"['채식', '양식', '일식', '중식', '한식']","['감자', '파프리카', '베이컨', '무', '생강', '토마토', '깻잎', '대파', '마늘', '닭고기', '오이', '고구마', '달걀', '애호박', '양배추', '두부', '레몬']"
301,"['중식', '채식']","['고구마', '대파', '무', '마늘', '생강', '치즈', '달걀', '깻잎', '두부', '레몬', '새우', '양파', '양배추', '쪽파', '당근', '오징어', '멸치', '애호박', '가지', '토마토', '베이컨', '딸기']"
302,"['일식', '한식', '양식']","['감자', '당근', '파프리카', '레몬', '깻잎', '토마토', '시금치', '마늘', '오이', '오징어', '딸기', '고구마', '생강', '대파', '우유', '양파', '닭고기', '두부', '돼지고기']"
303,['양식'],"['고구마', '두부', '마늘', '치즈', '무', '우유', '가지', '새우', '깻잎', '양배추', '베이컨', '당근']"
304,"['일식', '한식', '양식', '채식']","['감자', '베이컨', '토마토', '가지', '오징어', '쇠고기', '우유', '생강', '달걀', '딸기', '당근', '시금치', '레몬', '양배추', '파프리카', '대파', '멸치', '두부', '오이', '치즈', '고구마', '깻잎', '마늘', '양파', '새우', '돼지고기']"
305,"['일식', '한식', '채식', '중식']","['두부', '오징어', '딸기', '달걀', '가지', '토마토', '무', '마늘', '돼지고기', '베이컨']"
306,"['채식', '양식', '한식']","['오징어', '쇠고기', '베이컨', '고구마', '두부', '가지', '시금치', '깻잎', '딸기', '돼지고기', '대파', '우유', '달걀', '새우', '생강', '마늘']"
307,['양식'],"['애호박', '달걀', '감자', '마늘', '베이컨', '돼지고기', '당근', '새우', '레몬', '오징어', '양배추', '가지', '치즈', '양파', '우유', '쪽파', '고구마', '파프리카', '생강', '토마토', '닭고기', '무', '쇠고기', '딸기', '깻잎']"
308,['중식'],"['당근', '우유', '마늘', '생강', '돼지고기', '새우', '베이컨', '토마토', '가지', '감자', '시금치', '달걀', '쪽파']"
309,['채식'],"['쪽파', '파프리카', '깻잎', '딸기', '마늘', '양파', '오징어', '대파', '레몬', '치즈', '애호박', '생강', '베이컨', '쇠고기', '두부', '새우']"
310,['양식'],"['쪽파', '멸치', '두부', '생강', '고구마', '파프리카', '오징어', '양파', '토마토', '가지', '달걀', '깻잎', '무', '새우', '레몬', '닭고기', '당근', '쇠고기', '감자', '대파', '딸기', '오이']"
311,"['채식', '일식', '양식', '중식']","['쇠고기', '깻잎', '달걀', '쪽파', '오이', '토마토', '오징어', '무', '마늘', '파프리카', '가지', '레몬', '생강', '새우', '베이컨', '양배추', '딸기', '두부', '돼지고기', '애호박', '양파', '우유', '시금치', '대파']"
312,"['일식', '중식', '양식']","['두부', '오이', '감자', '닭고기', '돼지고기', '가지', '치즈', '대파', '오징어', '애호박', '깻잎', '쇠고기', '고구마', '양파', '마늘', '베이컨', '파프리카', '당근', '우유', '시금치', '딸기', '무', '달걀', '멸치', '쪽파', '생강', '새우']"
313,"['채식', '중식', '양식', '일식']","['감자', '달걀', '새우', '우유']"
314,"['중식', '일식', '한식', '양식']","['감자', '치즈', '멸치', '쪽파', '마늘']"
315,"['채식', '양식', '중식', '일식', '한식']","['양파', '시금치', '쪽파', '마늘', '가지', '양배추', '딸기', '깻잎', '달걀', '돼지고기', '오징어', '우유', '생강', '무', '레몬', '감자', '치즈', '베이컨', '파프리카', '오이', '두부', '쇠고기', '대파', '애호박', '닭고기', '당근', '토마토', '새우']"
316,"['중식', '양식']","['시금치', '달걀', '무', '고구마', '딸기', '가지', '대파', '돼지고기', '쪽파', '우유', '당근', '생강', '애호박', '마늘', '쇠고기', '깻잎', '오징어', '레몬', '양파', '양배추', '오이']"
317,"['한식', '양식']","['두부', '베이컨', '양배추', '토마토', '달걀', '오이', '파프리카', '레몬', '오징어', '당근', '멸치', '쪽파', '생강', '딸기', '쇠고기', '우유', '감자', '치즈', '대파', '애호박', '가지']"
318,"['일식', '중식', '양식', '한식']","['딸기', '애호박', '대파', '레몬', '오징어', '가지', '우유', '감자', '당근', '시금치', '달걀', '토마토', '파프리카', '생강']"
319,"['채식', '일식', '한식', '중식']",['쪽파']
320,"['일식', '양식', '채식', '한식', '중식']","['치즈', '레몬', '감자', '애호박', '멸치', '마늘', '베이컨', '쪽파', '오징어', '파프리카', '가지', '깻잎', '딸기', '닭고기', '달걀', '대파', '고구마', '시금치', '당근', '새우', '두부', '돼지고기']"
321,"['채식', '한식', '양식']","['깻잎', '우유', '레몬', '파프리카', '쪽파', '치즈', '새우', '양배추', '베이컨', '마늘', '오징어', '당근', '닭고기', '감자', '애호박', '딸기', '고구마', '토마토', '생강', '가지', '달걀', '시금치', '양파', '대파', '두부', '쇠고기', '무', '돼지고기', '오이']"
322,['양식'],"['애호박', '닭고기', '두부', '쪽파', '양배추', '달걀', '베이컨', '돼지고기', '우유', '고구마', '오이', '멸치', '레몬', '새우', '무', '마늘', '가지', '감자', '쇠고기', '토마토']"
323,"['한식', '양식', '중식', '채식']","['두부', '오이', '대파', '애호박', '파프리카', '토마토', '딸기', '닭고기', '달걀', '양배추', '우유', '가지', '쪽파', '쇠고기', '오징어', '돼지고기', '새우', '무', '생강', '양파', '고구마', '깻잎', '시금치', '멸치', '레몬', '당근', '베이컨', '감자', '마늘']"
324,"['양식', '일식', '중식', '채식']","['양배추', '새우', '달걀', '당근', '우유', '딸기', '시금치', '오이', '쪽파', '치즈', '생강', '레몬', '닭고기', '마늘', '두부', '양파', '깻잎', '토마토', '고구마', '멸치', '애호박', '감자', '쇠고기', '대파', '파프리카', '오징어', '돼지고기', '가지']"
325,"['한식', '중식', '채식', '양식']","['토마토', '파프리카', '쪽파', '애호박', '베이컨', '달걀', '레몬', '가지', '무', '당근', '고구마', '깻잎', '감자', '오이', '치즈', '두부', '닭고기', '양파', '마늘']"
326,"['양식', '일식', '중식', '한식']","['애호박', '돼지고기', '달걀', '우유', '대파', '두부', '생강', '시금치', '가지', '베이컨']"
327,"['일식', '양식']","['감자', '애호박', '쇠고기', '깻잎', '마늘', '새우', '오징어', '레몬', '파프리카', '시금치', '무', '양파', '딸기', '닭고기', '멸치', '오이']"
328,"['중식', '양식', '한식', '일식']","['감자', '가지', '고구마', '토마토', '멸치', '치즈', '달걀', '레몬', '깻잎', '닭고기', '오징어', '무', '양파', '두부', '생강', '돼지고기', '오이', '양배추', '시금치', '대파', '파프리카', '마늘', '당근', '새우', '딸기', '베이컨', '쇠고기', '쪽파']"
329,"['중식', '양식', '일식', '한식', '채식']","['시금치', '치즈', '새우', '두부', '깻잎', '감자', '파프리카', '돼지고기']"
330,"['양식', '중식', '한식']","['양파', '양배추', '가지']"
331,"['양식', '중식', '한식', '일식', '채식']","['베이컨', '닭고기', '토마토', '당근', '양파', '달걀', '쪽파', '마늘']"
332,"['양식', '중식']","['마늘', '무', '새우', '파프리카']"
333,"['채식', '일식', '한식', '양식']","['마늘', '토마토', '치즈', '오이', '감자', '가지', '시금치', '양배추', '베이컨', '생강', '레몬', '파프리카', '고구마']"
334,['한식'],"['베이컨', '대파', '양파', '깻잎', '양배추', '쇠고기', '돼지고기', '닭고기', '토마토', '멸치', '치즈', '파프리카', '당근', '무', '고구마', '쪽파', '오이', '시금치', '오징어', '우유', '달걀', '생강', '두부', '새우', '가지', '레몬', '애호박', '감자', '마늘', '딸기']"
335,['채식'],"['치즈', '멸치', '오이', '생강', '파프리카', '토마토', '애호박', '두부', '양파', '닭고기', '달걀', '양배추', '베이컨', '마늘', '쪽파', '쇠고기', '무', '깻잎', '딸기', '감자', '오징어', '가지', '당근', '고구마']"
336,"['중식', '채식', '양식', '한식', '일식']","['깻잎', '달걀', '무', '당근', '새우', '시금치', '파프리카', '대파', '오이', '우유', '베이컨', '멸치', '생강', '애호박', '감자', '돼지고기', '쪽파', '두부', '치즈', '고구마', '닭고기', '마늘', '토마토', '오징어', '양파', '쇠고기']"
337,"['일식', '채식', '중식']",['애호박']
338,['한식'],"['무', '닭고기', '달걀', '애호박', '두부', '대파', '감자', '돼지고기', '멸치', '가지', '치즈', '우유', '쪽파', '양배추', '레몬', '파프리카', '양파', '고구마', '쇠고기', '생강', '새우', '당근', '베이컨', '토마토', '마늘', '시금치', '오징어']"
339,['일식'],"['우유', '파프리카', '양파', '고구마', '양배추', '달걀', '대파', '새우', '생강']"
340,['중식'],"['딸기', '쪽파', '쇠고기', '양배추', '깻잎', '달걀', '고구마', '시금치', '새우', '두부', '생강']"
341,"['한식', '채식', '중식']","['대파', '고구마', '양파', '생강', '우유', '시금치', '쇠고기', '쪽파', '치즈', '두부', '멸치', '베이컨', '무', '애호박', '새우', '당근', '토마토', '가지', '딸기', '감자', '돼지고기', '오징어', '레몬', '오이', '파프리카', '양배추']"
342,"['중식', '채식', '일식', '양식', '한식']","['마늘', '무', '애호박', '두부', '쇠고기', '토마토', '가지', '오징어', '치즈', '우유', '멸치', '양배추', '레몬', '시금치']"
343,"['일식', '채식']","['가지', '달걀', '두부', '오징어', '베이컨', '양파', '양배추', '당근', '마늘', '쪽파', '감자', '토마토', '우유', '애호박', '쇠고기', '고구마']"
344,"['양식', '일식', '채식', '중식', '한식']","['베이컨', '생강', '마늘', '양파', '대파', '오이', '양배추', '닭고기', '무', '두부', '애호박', '달걀', '고구마', '우유', '돼지고기', '시금치', '감자', '파프리카', '깻잎', '가지', '치즈', '딸기', '레몬', '쇠고기', '당근', '토마토', '새우', '쪽파']"
345,"['중식', '일식', '채식', '양식', '한식']","['시금치', '감자', '멸치', '가지', '깻잎', '딸기', '달걀', '돼지고기', '애호박', '양파']"
346,"['중식', '일식']","['대파', '오징어', '딸기', '멸치', '달걀', '닭고기', '오이', '양파', '쇠고기', '토마토', '시금치', '감자', '돼지고기']"
347,"['한식', '일식', '양식', '채식']","['새우', '치즈', '감자', '고구마', '대파', '돼지고기', '마늘', '시금치', '양배추', '파프리카', '생강', '베이컨', '양파', '멸치', '오징어', '쇠고기', '우유', '가지', '무', '닭고기', '쪽파', '딸기', '오이', '당근', '달걀', '애호박', '두부', '토마토']"
348,"['일식', '한식', '양식', '중식']","['딸기', '쇠고기', '레몬', '토마토', '쪽파', '생강', '달걀', '오이', '닭고기', '무', '파프리카']"
349,"['채식', '일식', '한식', '양식', '중식']","['멸치', '애호박', '당근', '오이', '베이컨', '두부', '닭고기', '양배추', '돼지고기', '대파', '토마토', '오징어', '딸기', '새우']"
350,"['중식', '양식']","['딸기', '가지', '오징어', '마늘', '돼지고기', '멸치', '고구마', '베이컨', '파프리카', '새우', '쪽파', '닭고기', '시금치']"
351,"['양식', '채식']","['애호박', '생강', '파프리카', '새우', '돼지고기', '오이', '감자', '닭고기', '깻잎', '오징어', '시금치', '가지', '딸기', '토마토', '대파', '두부', '양배추', '달걀', '양파', '치즈', '멸치', '레몬', '무', '고구마', '쇠고기', '우유', '마늘', '당근', '쪽파', '베이컨']"
352,['중식'],"['고구마', '치즈', '돼지고기', '딸기', '무', '대파', '오징어', '쇠고기', '오이', '마늘', '베이컨', '레몬', '우유', '양파', '닭고기']"
353,"['양식', '채식']","['쇠고기', '감자', '애호박', '양파', '무', '레몬', '깻잎', '새우', '시금치', '우유', '양배추', '오징어', '닭고기', '고구마', '치즈', '돼지고기', '오이', '쪽파', '멸치', '마늘', '토마토', '딸기', '달걀', '파프리카', '대파', '베이컨', '당근', '생강', '가지']"
354,['한식'],"['생강', '달걀', '감자', '무', '대파', '베이컨', '시금치', '가지', '쇠고기', '멸치', '새우', '마늘', '고구마', '토마토', '오징어', '파프리카', '돼지고기', '닭고기', '당근', '양배추', '쪽파', '우유']"
355,"['중식', '양식', '한식']","['새우', '시금치', '쇠고기', '깻잎', '대파', '치즈', '달걀', '토마토', '마늘', '가지', '양파']"
356,"['양식', '중식']","['양배추', '감자', '치즈', '토마토', '고구마', '파프리카', '생강', '가지', '달걀', '베이컨', '오징어', '당근', '쇠고기', '마늘', '대파', '멸치', '오이', '깻잎']"
357,['채식'],"['베이컨', '쇠고기', '우유', '파프리카', '토마토', '돼지고기', '멸치', '새우', '마늘']"
358,['채식'],"['시금치', '양배추', '닭고기', '달걀', '토마토', '감자', '생강', '두부', '마늘', '레몬', '새우', '당근', '쪽파', '멸치', '고구마', '오징어', '우유', '무', '양파', '파프리카', '치즈']"
359,"['양식', '일식']","['양파', '새우', '무', '우유', '치즈', '깻잎', '두부', '딸기', '양배추', '베이컨', '돼지고기', '쇠고기', '파프리카', '고구마', '레몬', '멸치', '시금치', '마늘', '오이', '당근', '애호박', '가지', '생강', '토마토', '대파', '닭고기']"
360,['한식'],"['닭고기', '달걀']"
361,['양식'],"['치즈', '깻잎', '베이컨', '달걀', '마늘', '토마토', '시금치', '쇠고기', '레몬', '양배추', '대파', '오징어', '애호박', '우유', '딸기', '새우', '파프리카', '무', '가지', '생강', '두부', '닭고기', '양파', '오이', '감자', '돼지고기']"
362,"['양식', '일식', '한식', '채식']","['마늘', '깻잎', '쇠고기', '무', '레몬', '생강', '가지', '애호박', '우유', '달걀', '양배추', '돼지고기', '당근', '딸기', '치즈', '고구마', '대파', '토마토', '닭고기', '베이컨', '새우', '멸치', '오이', '감자']"
363,"['중식', '한식', '채식', '양식']","['가지', '치즈', '시금치', '감자', '고구마', '두부', '토마토', '쇠고기', '무', '베이컨', '오이', '우유', '양파', '레몬', '닭고기', '멸치', '새우', '양배추', '달걀', '마늘', '돼지고기', '파프리카', '깻잎', '대파', '당근', '딸기', '오징어', '쪽파']"
364,"['중식', '양식', '일식', '한식']","['새우', '베이컨', '대파', '쇠고기', '토마토', '생강', '달걀', '감자', '양파', '멸치', '시금치', '가지', '오징어', '닭고기', '우유', '치즈', '쪽파', '마늘', '레몬', '양배추']"
365,"['일식', '양식', '채식', '중식']","['두부', '파프리카', '토마토', '쪽파', '우유', '오이', '오징어', '양파', '쇠고기', '돼지고기', '닭고기', '마늘', '가지', '대파', '양배추', '애호박', '당근', '베이컨', '감자', '무', '멸치', '생강', '깻잎', '새우', '시금치', '치즈', '딸기']"
366,"['한식', '채식', '일식']",['오이']
367,['한식'],"['멸치', '양파', '우유']"
